Docking Score,-122.83 ,-67.52 ,-154.25 ,-121.97 ,-114.04 ,-111.30 ,-107.43 ,-101.23 ,-179.67 ,-176.95 
Confidence Score,0.3674,0.1612,0.5212,0.3634,0.3276,0.3156,0.2991,0.2738,0.6441,0.6316
Ligand rmsd (Å),104.31 ,101.26 ,125.23 ,112.04 ,94.73 ,113.64 ,98.32 ,96.67 ,107.53 ,96.63 
Interface residues,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10
